"cid","organism","testtype","route","dose_mg_per_kg","effect","reference","cmpdname"
"1004","man","LDLo","unreported",220,"NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Phosphoric Acid"
"1004","rat","LD50","oral",1530,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); KIDNEY, URETER, AND BLADDER: HEMATURIA; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid"
"1004","rat","LC50","inhalation",850,"NULL","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid"
"1004","rabbit","LD50","skin",2740,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: EXCITEMENT","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid"
"10342051","rat","LD50","oral",325,"NULL","Farm Chemicals Handbook., -(C287), 1991","Esfenvalerate"
"10342051","rat","LD50","skin",5,"NULL","Farm Chemicals Handbook., -(C287), 1991","Esfenvalerate"
"10342051","rabbit","LD50","skin",2,"NULL","Farm Chemicals Handbook., -(C27), 1991","Esfenvalerate"
"104926","rat","LD50","oral",900,"NULL","Farm Chemicals Handbook., -(C39), 1991","Cyfluthrin"
"104926","rat","LC50","inhalation",469,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"104926","rat","LD50","skin",5,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"104926","mouse","LD50","oral",300,"NULL","Merck Index; an Encyclopedia of Chemicals, Drugs, and Biologicals, 11th ed., Rahway, NJ 07065, Merck & Co., Inc. 1989, 11(432), 1989","Cyfluthrin"
"104926","dog","LD50","oral",500,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"104926","chicken","LD50","oral",5,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"104926","quail","LD50","oral",5,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"104926","domestic animals - goat/sheep","LD50","oral",1,"BEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX); BEHAVIORAL: FOOD INTAKE (ANIMAL); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY)","National Technical Information Service., OTS0555484","Cyfluthrin"
"104926","bird - domestic","LD50","oral",250,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"10788","rat","LD50","oral",320,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rat","LC50","inhalation",8400,"NULL","Pesticide Manual., 9(225), 1991","Dazomet"
"10788","rat","LD50","skin",2260,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","rat","LD50","intraperitoneal",87,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rat","LD50","subcutaneous",470,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","oral",180,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","mouse","LD50","skin",2400,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","intraperitoneal",98,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","subcutaneous",248,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","unreported",650,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(430), 1971","Dazomet"
"10788","dog","LD50","intraperitoneal",47,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","dog","LDLo","intramuscular",250,"SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; VASCULAR: BP ELEVATION NOT CHARACTERIZED IN AUTONOMIC SECTION; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rabbit","LD50","oral",120,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rabbit","LD50","skin",7,"NULL","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rabbit","LD50","intraperitoneal",127,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","guinea pig","LD50","oral",160,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"1118","human","TCLo","inhalation",3,"MUSCULOSKELETAL: CHANGES IN TEETH AND SUPPORTING STRUCTURES","British Journal of Industrial Medicine., 18(63), 1961 [PMID:13765721]","Sulfuric Acid"
"1118","human","TCLo","inhalation",1,"LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES","Inhalation Toxicology., 9(731), 1997","Sulfuric Acid"
"1118","man","LDLo","unreported",135,"NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Sulfuric Acid"
"1118","rat","LD50","oral",2140,"NULL","American Industrial Hygiene Association Journal., 30(470), 1969 [PMID:5823428]","Sulfuric Acid"
"1118","rat","LC50","inhalation",510,"NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(107), 1982","Sulfuric Acid"
"1118","mouse","LC50","inhalation",320,"NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(107), 1982","Sulfuric Acid"
"1118","guinea pig","LC50","inhalation",18,"LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES","Medicina del Lavoro.  Industrial Medicine., 45(590), 1954 [PMID:14369406]","Sulfuric Acid"
"115224","rat","LD50","oral",444,"BEHAVIORAL: TREMOR; GASTROINTESTINAL: DECREASED MOTILITY OR CONSTIPATION; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","National Technical Information Service., OTS0559690","Thiacloprid"
"115224","rat","LC50","inhalation",1223,"BEHAVIORAL: TREMOR; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","National Technical Information Service., OTS0559691","Thiacloprid"
"121494065","women","LDLo","oral",562,"BEHAVIORAL: COMA; CARDIAC: OTHER CHANGES","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide"
"121494065","man","TDLo","oral",891,"BEHAVIORAL: MUSCLE WEAKNESS; GASTROINTESTINAL: ALTERATION IN GASTRIC SECRETION","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide"
"12232","rat","LC50","inhalation",15850,"NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972","Dimethyl disulfide"
"12232","mouse","LC50","inhalation",12300,"NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972","Dimethyl disulfide"
"12232","mammal (species unspecified)","LD50","unreported",138,"NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972","Dimethyl disulfide"
"12901","human","LDLo","oral",50,"NULL","Special Publication of the Entomological Society of America., 74-1(-), 1974","Phosmet"
