"cid","organism","testtype","route","dose","effect","reference","cmpdname","...9"
"1004","man","LDLo","unreported","220 mg/kg","NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Phosphoric Acid",NA
"1004","rat","LD50","oral","1530 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); KIDNEY, URETER, AND BLADDER: HEMATURIA; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid",NA
"1004","rabbit","LD50","skin","2740 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: EXCITEMENT","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid",NA
"10342051","rat","LD50","oral","325 mg/kg","NULL","Farm Chemicals Handbook., -(C287), 1991","Esfenvalerate",NA
"104926","rat","LD50","oral","900 mg/kg","NULL","Farm Chemicals Handbook., -(C39), 1991","Cyfluthrin",NA
"104926","mouse","LD50","oral","300 mg/kg","NULL","Merck Index; an Encyclopedia of Chemicals, Drugs, and Biologicals, 11th ed., Rahway, NJ 07065, Merck & Co., Inc. 1989, 11(432), 1989","Cyfluthrin",NA
"104926","dog","LD50","oral","500 mg/kg","NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin",NA
"104926","bird - domestic","LD50","oral","250 mg/kg","NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin",NA
"10788","rat","LD50","oral","320 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
"10788","rat","LD50","skin","2260 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet",NA
"10788","rat","LD50","intraperitoneal","87 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
"10788","rat","LD50","subcutaneous","470 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet",NA
"10788","mouse","LD50","oral","180 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
