"cid","organism","testtype","route","dose_mg_per_kg","effect","reference","cmpdname"
"1004","man","LDLo","unreported",220,"NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Phosphoric Acid"
"1004","rat","LD50","oral",1530,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); KIDNEY, URETER, AND BLADDER: HEMATURIA; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid"
"1004","rabbit","LD50","skin",2740,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: EXCITEMENT","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid"
"10342051","rat","LD50","oral",325,"NULL","Farm Chemicals Handbook., -(C287), 1991","Esfenvalerate"
"104926","rat","LD50","oral",900,"NULL","Farm Chemicals Handbook., -(C39), 1991","Cyfluthrin"
"104926","mouse","LD50","oral",300,"NULL","Merck Index; an Encyclopedia of Chemicals, Drugs, and Biologicals, 11th ed., Rahway, NJ 07065, Merck & Co., Inc. 1989, 11(432), 1989","Cyfluthrin"
"104926","dog","LD50","oral",500,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"104926","bird - domestic","LD50","oral",250,"NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin"
"10788","rat","LD50","oral",320,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rat","LD50","skin",2260,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","rat","LD50","intraperitoneal",87,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rat","LD50","subcutaneous",470,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","oral",180,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","mouse","LD50","skin",2400,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","intraperitoneal",98,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","subcutaneous",248,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet"
"10788","mouse","LD50","unreported",650,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(430), 1971","Dazomet"
"10788","dog","LD50","intraperitoneal",47,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","dog","LDLo","intramuscular",250,"SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; VASCULAR: BP ELEVATION NOT CHARACTERIZED IN AUTONOMIC SECTION; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rabbit","LD50","oral",120,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","rabbit","LD50","intraperitoneal",127,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"10788","guinea pig","LD50","oral",160,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet"
"1118","man","LDLo","unreported",135,"NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Sulfuric Acid"
"1118","rat","LD50","oral",2140,"NULL","American Industrial Hygiene Association Journal., 30(470), 1969 [PMID:5823428]","Sulfuric Acid"
"115224","rat","LD50","oral",444,"BEHAVIORAL: TREMOR; GASTROINTESTINAL: DECREASED MOTILITY OR CONSTIPATION; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","National Technical Information Service., OTS0559690","Thiacloprid"
"121494065","women","LDLo","oral",562,"BEHAVIORAL: COMA; CARDIAC: OTHER CHANGES","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide"
"121494065","man","TDLo","oral",891,"BEHAVIORAL: MUSCLE WEAKNESS; GASTROINTESTINAL: ALTERATION IN GASTRIC SECRETION","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide"
"12232","mammal (species unspecified)","LD50","unreported",138,"NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972","Dimethyl disulfide"
"12901","human","LDLo","oral",50,"NULL","Special Publication of the Entomological Society of America., 74-1(-), 1974","Phosmet"
"12901","rat","LD50","skin",1326,"NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(59), 1982","Phosmet"
"12901","mouse","LD50","oral",26,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969","Phosmet"
"12901","cat","LD50","unreported",78,"NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet"
"12901","rabbit","LD50","skin",3160,"NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A325(1983)","Phosmet"
"12901","guinea pig","LD50","oral",200,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969","Phosmet"
"12901","guinea pig","LD50","unreported",210,"NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet"
"12901","chicken","LD50","oral",707,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 6(147), 1964","Phosmet"
"12901","duck","LD50","oral",1830,"NULL","Down to Earth., 35(25), 1979","Phosmet"
"12901","mammal (species unspecified)","LD50","unreported",40,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(370), 1971","Phosmet"
"12901","bird - wild","LD50","oral",18,"NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","Phosmet"
"12901","rat","LD50","unreported",132,"NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet"
"12932","rat","LD50","oral",271,"NULL","Farm Chemicals Handbook., -(C42), 1991","Bensulide"
"12932","rat","LD50","skin",3950,"NULL","Pesticide Manual., 9(63), 1991","Bensulide"
"12932","rat","LD50","unreported",770,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(375), 1971","Bensulide"
"12932","mouse","LD50","oral",1540,"NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide"
"12932","mouse","LD50","intraperitoneal",630,"NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide"
"12932","mouse","LD50","subcutaneous",630,"NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide"
"12932","quail","LD50","oral",1386,"NULL","Pesticide Manual., 9(63), 1991","Bensulide"
"12968","rat","LD50","oral",916,"NULL","National Technical Information Service., PB82-913299","S-Ethyl dipropylthiocarbamate"
