"","cid","organism","testtype","route","dose_mg_per_kg","effect","reference","cmpdname","category","who_hazard_class"
"1",1004,"man","LDLo","unreported","220","NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Phosphoric Acid","Terrestrial","II"
"2",1004,"rat","LD50","oral","1530","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); KIDNEY, URETER, AND BLADDER: HEMATURIA; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid","Terrestrial","II"
"3",1004,"rabbit","LD50","skin","2740","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: EXCITEMENT","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970","Phosphoric Acid","Terrestrial","III"
"4",10342051,"rat","LD50","oral","325","NULL","Farm Chemicals Handbook., -(C287), 1991","Esfenvalerate","Terrestrial","II"
"5",104926,"rat","LD50","oral","900","NULL","Farm Chemicals Handbook., -(C39), 1991","Cyfluthrin","Terrestrial","II"
"6",104926,"mouse","LD50","oral","300","NULL","Merck Index; an Encyclopedia of Chemicals, Drugs, and Biologicals, 11th ed., Rahway, NJ 07065, Merck & Co., Inc. 1989, 11(432), 1989","Cyfluthrin","Terrestrial","II"
"7",104926,"dog","LD50","oral","500","NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin","Terrestrial","II"
"8",104926,"bird - domestic","LD50","oral","250","NULL","Pesticide Manual., 9(198), 1991","Cyfluthrin","Terrestrial","II"
"9",10788,"rat","LD50","oral","320","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","II"
"10",10788,"rat","LD50","skin","2260","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet","Terrestrial","III"
"11",10788,"rat","LD50","intraperitoneal","87","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","II"
