cid,CAS,organism,testtype,route,dose_mg_per_kg,effect,reference,cmpdname
1004,7664-38-2,man,LDLo,unreported,220,,"Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970",Phosphoric Acid
1004,7664-38-2,rat,LD50,oral,1530,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); KIDNEY, URETER, AND BLADDER: HEMATURIA; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970",Phosphoric Acid
1004,7664-38-2,rabbit,LD50,skin,2740,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: EXCITEMENT,"BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970",Phosphoric Acid
10342051,66230-04-4,rat,LD50,oral,325,,"Farm Chemicals Handbook., -(C287), 1991",Esfenvalerate
104926,68359-37-5,rat,LD50,oral,900,,"Farm Chemicals Handbook., -(C39), 1991",Cyfluthrin
104926,68359-37-5,mouse,LD50,oral,300,,"Merck Index; an Encyclopedia of Chemicals, Drugs, and Biologicals, 11th ed., Rahway, NJ 07065, Merck & Co., Inc. 1989, 11(432), 1989",Cyfluthrin
104926,68359-37-5,dog,LD50,oral,500,,"Pesticide Manual., 9(198), 1991",Cyfluthrin
104926,68359-37-5,bird - domestic,LD50,oral,250,,"Pesticide Manual., 9(198), 1991",Cyfluthrin
10788,533-74-4,rat,LD50,oral,320,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
10788,533-74-4,rat,LD50,skin,2260,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet
10788,533-74-4,rat,LD50,intraperitoneal,87,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
10788,533-74-4,rat,LD50,subcutaneous,470,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet
10788,533-74-4,mouse,LD50,oral,180,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
10788,533-74-4,mouse,LD50,skin,2400,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet
