cid,organism,testtype,route,dose,effect,reference,cmpdname,
1004,man,LDLo,unreported,220 mg/kg,NULL,"Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970",Phosphoric Acid,
1004,rat,LD50,oral,1530 mg/kg,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); KIDNEY, URETER, AND BLADDER: HEMATURIA; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970",Phosphoric Acid,
1004,rat,LC50,inhalation,&gt;850 mg/m3/1H,NULL,"BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970",Phosphoric Acid,
1004,rabbit,LD50,skin,2740 mg/kg,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: EXCITEMENT,"BIOFAX Industrial Bio-Test Laboratories, Inc., Data Sheets., 17-4/1970",Phosphoric Acid,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
10342051,rat,LD50,oral,325 mg/kg,NULL,"Farm Chemicals Handbook., -(C287), 1991",Esfenvalerate,
10342051,rat,LD50,skin,&gt;5 gm/kg,NULL,"Farm Chemicals Handbook., -(C287), 1991",Esfenvalerate,
10342051,rabbit,LD50,skin,&gt;2 gm/kg,NULL,"Farm Chemicals Handbook., -(C27), 1991",Esfenvalerate,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
104926,rat,LD50,oral,900 mg/kg,NULL,"Farm Chemicals Handbook., -(C39), 1991",Cyfluthrin,
104926,rat,LC50,inhalation,469 gm/m3/4H,NULL,"Pesticide Manual., 9(198), 1991",Cyfluthrin,
104926,rat,LD50,skin,&gt;5 gm/kg,NULL,"Pesticide Manual., 9(198), 1991",Cyfluthrin,
104926,mouse,LD50,oral,300 mg/kg,NULL,"Merck Index; an Encyclopedia of Chemicals, Drugs, and Biologicals, 11th ed., Rahway, NJ 07065, Merck & Co., Inc. 1989, 11(432), 1989",Cyfluthrin,
104926,dog,LD50,oral,500 mg/kg,NULL,"Pesticide Manual., 9(198), 1991",Cyfluthrin,
104926,chicken,LD50,oral,5 gm/kg,NULL,"Pesticide Manual., 9(198), 1991",Cyfluthrin,
104926,quail,LD50,oral,&gt;5 gm/kg,NULL,"Pesticide Manual., 9(198), 1991",Cyfluthrin,
104926,domestic animals - goat/sheep,LD50,oral,1 gm/kg,BEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX); BEHAVIORAL: FOOD INTAKE (ANIMAL); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY),"National Technical Information Service., OTS0555484",Cyfluthrin,
104926,bird - domestic,LD50,oral,250 mg/kg,NULL,"Pesticide Manual., 9(198), 1991",Cyfluthrin,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
10788,rat,LD50,oral,320 mg/kg,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,rat,LC50,inhalation,8400 mg/m3/4H,NULL,"Pesticide Manual., 9(225), 1991",Dazomet,
10788,rat,LD50,skin,2260 mg/kg,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet,
10788,rat,LD50,intraperitoneal,87 mg/kg,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,rat,LD50,subcutaneous,470 mg/kg,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet,
10788,mouse,LD50,oral,180 mg/kg,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,mouse,LD50,skin,2400 mg/kg,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet,
10788,mouse,LD50,intraperitoneal,98 mg/kg,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet,
10788,mouse,LD50,subcutaneous,248 mg/kg,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet,
10788,mouse,LD50,unreported,650 mg/kg,NULL,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(430), 1971",Dazomet,
10788,dog,LD50,intraperitoneal,47 mg/kg,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,dog,LDLo,intramuscular,250 mg/kg,"SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; VASCULAR: BP ELEVATION NOT CHARACTERIZED IN AUTONOMIC SECTION; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,rabbit,LD50,oral,120 mg/kg,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,rabbit,LD50,skin,7 gm/kg,NULL,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,rabbit,LD50,intraperitoneal,127 mg/kg,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
10788,guinea pig,LD50,oral,160 mg/kg,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
1118,human,TCLo,inhalation,3 mg/m3/24W,MUSCULOSKELETAL: CHANGES IN TEETH AND SUPPORTING STRUCTURES,"British Journal of Industrial Medicine., 18(63), 1961 [PMID:13765721]",Sulfuric Acid,
1118,human,TCLo,inhalation,1 mg/m3/3H,"LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES","Inhalation Toxicology., 9(731), 1997",Sulfuric Acid,
1118,man,LDLo,unreported,135 mg/kg,NULL,"Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970",Sulfuric Acid,
1118,rat,LD50,oral,2140 mg/kg,NULL,"American Industrial Hygiene Association Journal., 30(470), 1969 [PMID:5823428]",Sulfuric Acid,
1118,rat,LC50,inhalation,510 mg/m3/2H,NULL,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(107), 1982",Sulfuric Acid,
1118,mouse,LC50,inhalation,320 mg/m3/2H,NULL,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(107), 1982",Sulfuric Acid,
1118,guinea pig,LC50,inhalation,18 mg/m3,"LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES","Medicina del Lavoro.  Industrial Medicine., 45(590), 1954 [PMID:14369406]",Sulfuric Acid,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
115224,rat,LD50,oral,444 mg/kg,BEHAVIORAL: TREMOR; GASTROINTESTINAL: DECREASED MOTILITY OR CONSTIPATION; SKIN AND APPENDAGES (SKIN): HAIR: OTHER,"National Technical Information Service., OTS0559690",Thiacloprid,
115224,rat,LC50,inhalation,1223 mg/m3/4H,"BEHAVIORAL: TREMOR; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","National Technical Information Service., OTS0559691",Thiacloprid,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
121494065,women,LDLo,oral,562 mg/kg,BEHAVIORAL: COMA; CARDIAC: OTHER CHANGES,"Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]",Calcium polysulfide,
121494065,man,TDLo,oral,891 mg/kg,BEHAVIORAL: MUSCLE WEAKNESS; GASTROINTESTINAL: ALTERATION IN GASTRIC SECRETION,"Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]",Calcium polysulfide,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
12232,rat,LC50,inhalation,15850 ug/m3/2H,NULL,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972",Dimethyl disulfide,
12232,mouse,LC50,inhalation,12300 ug/m3/2H,NULL,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972",Dimethyl disulfide,
12232,mammal (species unspecified),LD50,unreported,138 mg/kg,NULL,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972",Dimethyl disulfide,
﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
  ﻿cid,organism,testtype,route,dose,effect,reference,cmpdname,
12901,human,LDLo,oral,50 mg/kg,NULL,"Special Publication of the Entomological Society of America., 74-1(-), 1974",Phosmet,
